group,names,scores,logfoldchanges,pvals,pvals_adj
0,TOX,0.18277058,,0.8549780303318797,0.9991286898850529
0,SLA,0.18150613,,0.8559703193124026,0.9991286898850529
0,ZNF232,0.17958072,,0.8574817417570478,0.9991286898850529
0,ITM2C,0.1788048,,0.8580909705087127,0.9991286898850529
0,TNK1,0.17828754,,0.8584971699919635,0.9991286898850529
0,HEMGN,0.17823006,,0.8585423055823331,0.9991286898850529
0,ALG10,0.1780289,,0.8587002837887749,0.9991286898850529
0,JAM3,0.17610349,,0.8602126462477965,0.9991286898850529
0,KDELC1,0.17501146,,0.8610706323457213,0.9991286898850529
0,SUMO4,0.17501146,,0.8610706323457213,0.9991286898850529
0,SLC10A1,0.17501146,,0.8610706323457213,0.9991286898850529
0,CHRNA1,0.17501146,,0.8610706323457213,0.9991286898850529
0,PRR4,0.1705284,,0.8645945988000459,0.9991286898850529
0,ORC2,0.1702985,,0.8647753882626542,0.9991286898850529
0,ZBED5-AS1,0.1684593,,0.8662219580042936,0.9991286898850529
0,USP38,0.16779834,,0.8667419287466183,0.9991286898850529
0,FRY-AS1,0.16124618,,0.8718995053532856,0.9991286898850529
0,OSM,0.16098756,,0.8721032071715332,0.9991286898850529
0,OSBPL7,0.16075765,,0.8722842825753545,0.9991286898850529
0,PPP6R1,0.15937825,,0.8733708752111464,0.9991286898850529
0,PDZD4,0.15891846,,0.8737331259469914,0.9991286898850529
0,AAGAB,0.15825748,,0.8742539077364597,0.9991286898850529
0,ZNF649,0.15811379,,0.8743671283853964,0.9991286898850529
0,SAMD12,0.15713672,,0.8751370968983637,0.9991286898850529
0,PLCL1,0.15702178,,0.8752276892157919,0.9991286898850529
0,SPATA7,0.15702178,,0.8752276892157919,0.9991286898850529
0,MAPK11,0.15702178,,0.8752276892157919,0.9991286898850529
0,WBP2NL,0.15702178,,0.8752276892157919,0.9991286898850529
0,SLC30A4,0.15702178,,0.8752276892157919,0.9991286898850529
0,NEDD4,0.15592974,,0.8760883976207219,0.9991286898850529
0,PCBP3,0.15592974,,0.8760883976207219,0.9991286898850529
0,CTD-2532N20.1,0.15592974,,0.8760883976207219,0.9991286898850529
0,RP11-379K17.12,0.15592974,,0.8760883976207219,0.9991286898850529
0,GCNT4,0.15592974,,0.8760883976207219,0.9991286898850529
0,ZNF836,0.14863043,,0.8818452692368923,0.9991286898850529
0,GMFG,0.1450957,,0.8846353099406004,0.9991286898850529
0,ITPR1,0.14426231,,0.8852933341946294,0.9991286898850529
0,C8orf44,0.14314155,,0.886178388025555,0.9991286898850529
0,IKZF2,0.14081381,,0.8880170292251325,0.9991286898850529
0,ZNF14,0.1404115,,0.8883348804291109,0.9991286898850529
0,HAR1A,0.14012411,,0.8885619279999534,0.9991286898850529
0,ZNF574,0.14006664,,0.8886073386118674,0.9991286898850529
0,TFR2,0.1390321,,0.8894247919966197,0.9991286898850529
0,RP11-532F6.3,0.1389746,,0.8894702095292507,0.9991286898850529
0,ZNF823,0.13805501,,0.8901969392889792,0.9991286898850529
0,EDA,0.13794006,,0.890287787008914,0.9991286898850529
0,ATAD3C,0.13794006,,0.890287787008914,0.9991286898850529
0,SPIN3,0.13794006,,0.890287787008914,0.9991286898850529
0,TUBG2,0.13794006,,0.890287787008914,0.9991286898850529
0,KDM4A-AS1,0.13684803,,0.8911509120274353,0.9991286898850529
0,C6orf99,0.13684803,,0.8911509120274353,0.9991286898850529
0,PLEK2,0.13684803,,0.8911509120274353,0.9991286898850529
0,CUZD1,0.13684803,,0.8911509120274353,0.9991286898850529
0,AIRE,0.13684803,,0.8911509120274353,0.9991286898850529
0,PLXNA1,0.13684803,,0.8911509120274353,0.9991286898850529
0,C2CD4D,0.13684803,,0.8911509120274353,0.9991286898850529
0,RPL39L,0.13156034,,0.8953320604455569,0.9991286898850529
0,PACS1,0.13110054,0.42755166,0.8956957777279683,0.9991286898850529
0,CAPN12,0.124979444,,0.9005398232771192,0.9991286898850529
0,WHSC1,0.12428974,,0.9010858669267622,0.9991286898850529
0,ABCC10,0.12385868,,0.9014271679948928,0.9991286898850529
0,ZNF43,0.12357131,,0.9016547121679698,0.9991286898850529
0,CES4A,0.12296782,,0.902132581211494,0.9991286898850529
0,RP11-218M22.1,0.12268044,,0.9023601503739977,0.9991286898850529
0,TP53BP2,0.12268044,,0.9023601503739977,0.9991286898850529
0,C5orf56,0.12250802,,0.9024966957238028,0.9991286898850529
0,PDIK1L,0.12207696,,0.9028380717085553,0.9991286898850529
0,ANKAR,0.12193327,,0.9029518676987011,0.9991286898850529
0,ST3GAL3,0.120812505,,0.9038395446674976,0.9991286898850529
0,HILPDA,0.12023775,,0.9042948103215731,0.9991286898850529
0,F5,0.12018028,,0.9043403386198906,0.9991286898850529
0,PPP1R13L,0.12009407,,0.9044086316569735,0.9991286898850529
0,LINC00342,0.12009407,,0.9044086316569735,0.9991286898850529
